"","state","county","order_type","order_date","time"
"1","Alabama","All","Stay at home",2020-04-04,"5 p.m."
"2","Alaska","All","Stay at home",2020-03-28,"5 p.m."
"3","Arizona","All","Stay at home",2020-03-31,"5 p.m."
"4","California","All","Stay at home",2020-03-19,"NA"
"5","Colorado","All","Stay at home",2020-03-26,"6 a.m."
"6","Connecticut","All","Stay at home",2020-03-23,"8 p.m."
"7","Delaware","All","Shelter in place",2020-03-24,"8 a.m."
"8","District of Columbia","All","Stay at home",2020-04-01,"12:01 a.m."
"9","Florida","All","Stay at home",2020-04-03,"12:01 a.m."
"10","Georgia","All","Shelter in place",2020-04-03,"NA"
"11","Hawaii","All","Stay at home",2020-03-25,"12:01 a.m."
"12","Idaho","All","Stay at home",2020-03-25,"1:30 p.m."
"13","Illinois","All","Stay at home",2020-03-21,"5 p.m."
"14","Indiana","All","Stay at home",2020-03-24,"11:59 p.m."
"15","Kansas","All","Stay at home",2020-03-30,"12:01 a.m."
"16","Kentucky","All","Healthy at home",2020-03-26,"8 p.m."
"17","Louisiana","All","Stay at home",2020-03-23,"5 p.m."
"18","Maine","All","Stay at home",2020-04-02,"12:01 a.m."
"19","Maryland","All","Stay at home",2020-03-30,"8 p.m."
"20","Massachusetts","All","Stay at home advisory",2020-03-24,"12 p.m."
"21","Michigan","All","Stay at home",2020-03-24,"12:01 a.m."
"22","Minnesota","All","Stay at home",2020-03-27,"11:59 p.m."
"23","Mississippi","All","Shelter in place",2020-04-03,"5 p.m."
"24","Missouri","All","Stay at home",2020-04-06,"12:01 a.m."
"25","Montana","All","Stay at home",2020-03-28,"12:01 a.m."
"26","Nevada","All","Stay at home",2020-04-01,"NA"
"27","New Hampshire","All","Stay at home",2020-03-27,"11:59 p.m."
"28","New Jersey","All","Stay at home",2020-03-21,"9 p.m."
"29","New Mexico","All","Stay at home",2020-03-24,"8 a.m."
"30","New York","All","Stay at home",2020-03-22,"8 p.m."
"31","North Carolina","All","Stay at home",2020-03-30,"5 p.m."
"32","Ohio","All","Stay at home",2020-03-23,"11:59 pm."
"33","Oregon","All","Stay at home",2020-03-23,"NA"
"34","Pennsylvania","All","Stay at home",2020-04-01,"8 p.m."
"35","Puerto Rico","All","Curfew",2020-03-15,"6 p.m."
"36","Rhode Island","All","Stay at home",2020-03-28,"NA"
"37","South Carolina","All","Stay at home ",2020-04-07,"5 p.m."
"38","Tennessee","All","Stay at home",2020-03-31,"11:59 p.m."
"39","Texas","All","Stay at home",2020-04-02,"12:01 a.m."
"40","Vermont","All","Stay at home",2020-03-25,"5 p.m."
"41","Virginia","All","Stay at home",2020-03-30,"NA"
"42","Washington","All","Stay at home",2020-03-23,"NA"
"43","West Virginia","All","Stay at home",2020-03-24,"8 p.m."
"44","Wisconsin","All","Stay at home",2020-03-25,"8 a.m."
"45","Oklahoma","Ardmore","Shelter in place",2020-04-06,"11:59 p.m."
"46","Oklahoma","Claremore","Stay at home",2020-04-06,"8 a.m."
"47","Oklahoma","Edmond","Shelter in place",2020-03-30,"11:59 p.m."
"48","Oklahoma","Moore","Shelter in place",2020-04-04,"11:59 p.m."
"49","Oklahoma","Norman","Stay at home",2020-03-25,"11:59 p.m."
"50","Oklahoma","Oklahoma City","Shelter in place",2020-03-28,"11:59 p.m."
"51","Oklahoma","Sallisaw","Shelter in place",2020-04-04,"11:59 p.m."
"52","Oklahoma","Stillwater","Shelter in place",2020-03-30,"11:59 p.m."
"53","Oklahoma","Tulsa","Shelter in place",2020-03-28,"11:59 p.m."
"54","Utah","Davis County","Stay at home",2020-04-01,"11:59 p.m."
"55","Utah","Salt Lake County","Stay at home",2020-03-30,"12:01 a.m."
"56","Utah","Summit County","Stay at home",2020-03-27,"12:01 a.m."
"57","Wyoming","Jackson","Stay at home",2020-03-28,"NA"
